"","X","idno","cntry","agea","eisced","gndr","rlgdgr","domicil","blgetmg","hinctnta","uemp3m","hincfel","stfdem","stfeco","gincdif","sofrdst","lrscale","trstep","trstun","stfgov","euftf","imsmetn","imdfetn","impcntr","imbgeco","imwbcnt","polintr","psppsgva","psppipla","frprtpl","freehms","hmsacld","atchctr","imueclt","impenv","vote_pop_2","elec_system","pop_choice_2","GDP","occup","vote_eu","pop_att"
"12011",20447,51900,"IE",71,6,2,6,1,2,7,2,1,6,8,2,2,5,8,3,7,5,2,3,2,7,8,2,4,3,3,1,1,8,8,1,0,"Proportional","l",4.802866946,3,1,8
"12012",20448,51908,"IE",42,6,1,0,2,2,2,1,2,8,7,3,3,5,10,9,8,10,1,1,1,10,10,1,5,5,4,1,1,6,10,5,0,"Proportional","l",4.802866946,4,1,9.33333333333333
"12013",20449,51917,"IE",85,1,1,10,1,2,3,1,1,10,10,2,2,4,7,8,10,5,3,1,1,7,10,3,5,5,4,2,2,10,10,3,0,"Proportional","l",4.802866946,10,1,6.33333333333333
"12014",20450,51927,"IE",58,7,1,4,2,2,8,2,1,7,4,2,4,5,8,7,6,10,1,3,2,9,9,2,3,3,1,1,2,6,10,1,0,"Proportional","l",4.802866946,2,1,2.66666666666667
"12015",20452,52106,"IE",72,1,1,5,2,2,7,2,1,9,8,3,1,9,5,5,8,10,2,2,2,9,10,3,2,2,3,2,4,10,9,1,0,"Proportional","l",4.802866946,1,1,6
"12016",20453,52112,"IE",79,6,1,8,2,2,8,2,1,7,5,4,5,7,7,4,3,6,2,3,3,7,10,2,2,2,3,2,2,1,7,2,0,"Proportional","l",4.802866946,2,1,4.33333333333333
"12017",20454,52136,"IE",39,5,1,2,4,2,9,1,1,8,7,2,4,8,6,7,6,6,2,2,2,4,5,2,2,3,3,1,1,6,5,4,0,"Proportional","l",4.802866946,3,1,5
"12018",20455,52155,"IE",59,4,2,6,5,2,6,2,2,5,5,3,3,5,5,5,5,4,4,4,4,3,4,4,1,1,2,2,3,5,3,5,1,"Proportional","l",4.802866946,4,1,3.66666666666667
"12019",20456,52194,"IE",61,7,2,1,3,2,4,2,1,3,4,2,4,6,1,5,7,5,1,1,1,7,8,3,1,2,3,1,1,8,7,1,0,"Proportional","l",4.802866946,2,1,3
"12020",20457,52254,"IE",41,4,1,7,3,2,3,2,2,3,4,2,1,4,4,4,3,4,2,4,4,0,0,3,2,2,2,1,1,5,5,1,4,"Proportional","l",4.802866946,5,1,1
"12021",20459,52264,"IE",47,5,1,6,5,2,10,1,1,8,6,1,4,4,7,8,5,5,2,2,2,10,8,2,2,3,2,1,1,10,9,1,0,"Proportional","l",4.802866946,3,1,6.33333333333333
"12022",20461,52444,"IE",60,7,1,0,2,2,4,2,1,6,6,1,2,5,1,1,6,8,2,1,1,7,9,1,1,3,3,1,1,10,9,2,0,"Proportional","l",4.802866946,3,1,1
"12023",20462,52473,"IE",39,5,1,5,3,2,4,1,2,4,5,3,3,4,5,7,4,5,2,2,3,6,6,2,3,3,3,1,1,8,6,2,0,"Proportional","l",4.802866946,1,1,3.33333333333333
"12024",20464,52493,"IE",64,1,1,5,5,2,2,2,3,3,5,1,1,7,4,4,5,3,2,2,2,4,4,3,1,2,2,2,2,8,3,2,0,"Proportional","l",4.802866946,6,2,3.33333333333333
"12025",20465,52495,"IE",61,4,2,7,5,2,5,2,1,6,5,2,3,5,6,7,4,5,2,2,2,6,8,3,3,3,3,2,2,9,6,2,0,"Proportional","l",4.802866946,4,1,6
