"","idno","cntry","agea","eisced","gndr","rlgdgr","domicil","blgetmg","hinctnta","uemp3m","hincfel","stfdem","stfeco","gincdif","sofrdst","lrscale","trstep","trstun","stfgov","euftf","imsmetn","imdfetn","impcntr","imbgeco","imwbcnt","polintr","psppsgva","psppipla","frprtpl","freehms","hmsacld","atchctr","imueclt","impenv","vote_pop_1","elec_system","pop_choice_1","GDP","occup","vote_eu","pop_att"
"108",5663,"AT",71,2,2,5,5,2,6,2,1,8,7,1,5,2,3,3,5,2,3,4,4,4,3,2,1,1,3,1,4,10,8,1,0,"Proportional","r",1.550724086,3,1,8.33333333333333
"109",5670,"AT",39,3,2,6,4,2,5,2,3,8,6,2,1,5,6,6,7,1,2,3,3,6,3,3,2,2,3,2,3,8,4,1,0,"Proportional","r",1.550724086,5,1,5.66666666666667
"110",5689,"AT",41,3,1,5,4,2,4,1,2,7,7,2,1,4,7,9,9,3,4,4,4,1,0,4,1,1,1,3,2,9,0,3,4,"Proportional","r",1.550724086,7,2,3
"111",5846,"AT",38,3,2,5,4,2,8,2,2,8,7,1,2,5,4,6,7,1,2,3,3,6,2,3,3,2,2,2,3,8,4,1,0,"Proportional","r",1.550724086,4,1,5.66666666666667
"112",5915,"AT",25,6,2,0,4,2,5,2,2,5,10,1,1,3,3,3,4,10,2,2,2,7,5,1,3,3,4,1,1,10,7,1,0,"Proportional","r",1.550724086,2,1,3
"113",6014,"AT",70,7,1,3,1,2,5,1,3,7,6,1,2,4,7,6,2,9,1,2,2,8,5,1,2,2,3,2,3,9,8,2,0,"Proportional","r",1.550724086,3,1,4.33333333333333
"114",6146,"AT",68,3,2,2,1,2,2,2,1,9,9,2,2,5,8,2,9,6,2,3,3,4,4,2,3,4,3,1,1,10,4,2,0,"Proportional","r",1.550724086,5,1,7.66666666666667
"115",6196,"AT",58,7,2,1,3,2,8,2,1,6,7,1,4,2,7,6,0,10,1,1,1,10,10,1,2,2,4,1,1,10,10,1,0,"Proportional","r",1.550724086,2,1,4.33333333333333
"116",6203,"AT",61,3,2,5,3,2,5,2,3,8,7,2,2,5,5,5,6,1,2,3,3,6,2,3,2,3,2,2,4,8,3,2,0,"Proportional","r",1.550724086,5,1,5.33333333333333
"117",6211,"AT",48,3,2,8,4,2,2,2,2,9,8,2,2,10,6,8,10,8,4,4,4,10,7,2,2,3,2,3,2,10,7,2,3,"Proportional","r",1.550724086,5,1,8.66666666666667
"118",6256,"AT",60,5,2,8,2,2,6,2,1,7,8,3,4,5,6,7,4,4,1,2,2,6,5,3,2,3,4,3,4,8,6,3,0,"Proportional","r",1.550724086,3,1,5.66666666666667
"119",6314,"AT",18,2,2,1,4,1,1,1,4,7,8,1,4,3,6,7,8,9,2,2,2,8,5,2,3,2,3,1,1,6,8,1,0,"Proportional","r",1.550724086,5,1,6
"120",6430,"AT",63,2,2,10,4,2,1,1,3,9,8,1,4,5,7,7,7,5,1,2,2,8,5,3,3,2,3,2,5,10,6,1,0,"Proportional","r",1.550724086,5,1,7
"121",6460,"AT",52,5,1,7,3,2,5,2,1,8,8,1,2,6,8,8,8,9,1,2,2,6,6,1,4,3,3,1,1,10,6,2,0,"Proportional","r",1.550724086,3,1,8
"122",6473,"AT",62,3,1,1,1,2,2,1,2,4,8,2,2,5,4,2,6,5,3,3,3,4,4,2,3,2,2,1,2,7,5,2,0,"Proportional","r",1.550724086,8,1,3.66666666666667
